time	tx_time	frame_num	pupil_x	pupil_y	pupil_area	status	delay
288257.080932	288257.082455	285	401.229787234	202.940425532	235.0	0	0.00167077139486
288257.113114	288257.114444	286	401.185344828	202.99137931	232.0	0	0.00149267649977
288257.144995	288257.156543	287	401.137931034	202.943965517	232.0	0	0.0117095870664
288257.17705	288257.178449	288	401.057377049	202.983606557	244.0	0	0.00156180147314
288257.20899	288257.21053	289	401.112068966	202.900862069	232.0	0	0.00170337181771
288257.240987	288257.242526	290	401.083333333	202.864035088	228.0	0	0.00168103445321
288257.272936	288257.281561	291	401.021645022	202.926406926	231.0	0	0.00876770116156
288257.320974	288257.327571	292	401.047008547	202.884615385	234.0	0	0.00676398293581
288257.352996	288257.359518	293	401.195744681	202.825531915	235.0	0	0.00672383612255
288257.384939	288257.386678	294	401.235294118	203.016806723	238.0	0	0.00191980233649
288257.416934	288257.418507	295	401.311688312	202.978354978	231.0	0	0.0017160497373
288257.44899	288257.452529	296	401.199152542	202.923728814	236.0	0	0.0037128253025
288257.480957	288257.483566	297	401.190677966	202.860169492	236.0	0	0.00279035425046
288257.512985	288257.515553	298	401.245762712	202.906779661	236.0	0	0.00280906929402
288257.544925	288257.54662	299	401.243589744	202.824786325	234.0	0	0.0018376976368
288257.577062	288257.57848	300	401.141025641	202.803418803	234.0	0	0.0015729701845
288257.609046	288257.610475	301	401.140425532	202.982978723	235.0	0	0.00156663113739
288257.640954	288257.642457	302	401.271186441	203.0	236.0	0	0.00164149136981
288257.672971	288257.674521	303	401.194214876	202.94214876	242.0	0	0.00169069389813
288257.720895	288257.722474	304	401.2	202.885106383	235.0	0	0.00172480358742
288257.752898	288257.76454	305	401.105932203	202.911016949	236.0	0	0.0117874658317
288257.785071	288257.786469	306	401.223175966	202.91416309	233.0	0	0.00153795490041
288257.81684	288257.818483	307	401.229166667	202.875	240.0	0	0.00178789143683
288257.848871	288257.850455	308	401.067226891	202.991596639	238.0	0	0.00173567037564
288257.881	288257.88963	309	401.136170213	202.90212766	235.0	0	0.00877464388032
288257.913027	288257.920464	310	401.2	202.978723404	235.0	0	0.00759982143063
288257.944833	288257.946511	311	401.205882353	203.054621849	238.0	0	0.00182532152394
288257.976891	288257.978549	312	401.199152542	203.072033898	236.0	0	0.0018002675497
288258.008974	288258.014576	313	401.331914894	202.957446809	235.0	0	0.00574854033766
288258.041011	288258.045517	314	401.185654008	203.037974684	237.0	0	0.0046594448504
288258.07298	288258.074506	315	401.174273859	203.066390041	241.0	0	0.0016659416724
288258.120922	288258.123573	316	401.216101695	202.894067797	236.0	0	0.00279307097662
288258.153006	288258.154524	317	401.176470588	202.983193277	238.0	0	0.00166262127459
288258.185034	288258.186504	318	401.223175966	202.871244635	233.0	0	0.00160436314764
288258.217005	288258.218484	319	401.235294118	203.025210084	238.0	0	0.00162036146503
288258.249057	288258.250583	320	401.203389831	203.06779661	236.0	0	0.00167288439116
288258.281045	288258.282521	321	401.217948718	202.995726496	234.0	0	0.00161704106722
288258.313037	288258.314515	322	401.278481013	203.05907173	237.0	0	0.00163515243912
288258.345083	288258.357625	323	400.991631799	202.970711297	239.0	0	0.0126900144387
288258.377006	288258.37851	324	401.066390041	203.012448133	241.0	0	0.00163364311447
288258.408971	288258.410549	325	401.254237288	202.978813559	236.0	0	0.00172118132468
288258.440914	288258.442557	326	401.181434599	202.966244726	237.0	0	0.0017821561778
288258.472933	288258.482555	327	401.169491525	202.991525424	236.0	0	0.00976623990573
288258.520994	288258.529635	328	401.139830508	202.822033898	236.0	0	0.00878581253346
288258.553006	288258.560649	329	401.25106383	203.055319149	235.0	0	0.00780387589475
288258.585078	288258.586513	330	401.125	203.025862069	232.0	0	0.00157538498752
288258.617005	288258.61854	331	401.136752137	202.974358974	234.0	0	0.00167741224868
288258.649037	288258.653606	332	401.226890756	202.924369748	238.0	0	0.00471528817434
288258.680971	288258.685588	333	401.320512821	202.948717949	234.0	0	0.00475845357869
288258.712919	288258.7165	334	401.282700422	202.962025316	237.0	0	0.00372399401385
288258.744967	288258.746733	335	401.116666667	202.958333333	240.0	0	0.00190320028923
288258.777096	288258.780005	336	401.244725738	202.932489451	237.0	0	0.00303364999127
288258.808971	288258.810581	337	401.240506329	202.970464135	237.0	0	0.00176132807974
288258.841031	288258.842493	338	401.264705882	202.886554622	238.0	0	0.001606174279
288258.872941	288258.874527	339	401.172268908	202.928571429	238.0	0	0.00173567043385
288258.920794	288258.922489	340	401.358649789	203.016877637	237.0	0	0.0018355846405
288258.952956	288258.954573	341	401.243902439	203.036585366	246.0	0	0.00176555413054
288258.985025	288258.997686	342	401.158119658	202.957264957	234.0	0	0.0128044177545
288259.017016	288259.018585	343	401.128755365	202.909871245	233.0	0	0.00171423860593
288259.048955	288259.05062	344	401.163865546	202.966386555	238.0	0	0.00181083241478
288259.080943	288259.082618	345	401.305439331	202.887029289	239.0	0	0.00182441598736
288259.112957	288259.121625	346	401.281512605	202.907563025	238.0	0	0.00883682613494
288259.144968	288259.146653	347	401.195833333	203.045833333	240.0	0	0.00183709390694
288259.176961	288259.178556	348	401.210084034	202.899159664	238.0	0	0.00173717964208
288259.208906	288259.210742	349	401.097046414	202.974683544	237.0	0	0.00197866425151
288259.240954	288259.246689	350	401.255319149	202.90212766	235.0	0	0.00587350857677
288259.272898	288259.277575	351	401.237288136	202.902542373	236.0	0	0.00482063583331
288259.320958	288259.324571	352	401.323404255	203.004255319	235.0	0	0.00377229094738
288259.352882	288259.354567	353	401.288135593	203.055084746	236.0	0	0.00185097928625
288259.38488	288259.386591	354	401.214285714	203.050420168	238.0	0	0.00185701635201
288259.416935	288259.418596	355	401.17721519	203.037974684	237.0	0	0.00180509721395
288259.449003	288259.450632	356	401.209205021	203.041841004	239.0	0	0.00176796893356
288259.481014	288259.482561	357	401.238297872	202.94893617	235.0	0	0.00169099576306
288259.513077	288259.514575	358	401.193277311	202.915966387	238.0	0	0.00164300063625
288259.544979	288259.54664	359	401.308016878	203.054852321	237.0	0	0.00183166051283
288259.576949	288259.578513	360	401.123404255	203.05106383	235.0	0	0.00169129756978
288259.609056	288259.610554	361	401.161016949	202.936440678	236.0	0	0.00163696357049
288259.640879	288259.642589	362	401.151260504	203.058823529	238.0	0	0.00185339414747
288259.673025	288259.683602	363	401.15	202.954166667	240.0	0	0.010720707709
288259.721014	288259.730547	364	401.120171674	202.927038627	233.0	0	0.00967568322085
288259.753012	288259.761664	365	401.326271186	202.898305085	236.0	0	0.00880150904413
288259.784993	288259.786567	366	401.212765957	202.991489362	235.0	0	0.00171242747456
288259.817004	288259.818577	367	401.139830508	202.995762712	236.0	0	0.00171665346716
288259.848939	288259.855712	368	401.095041322	203.053719008	242.0	0	0.0069134014775
288259.880902	288259.886592	369	401.145299145	203.115384615	234.0	0	0.00583245622693
288259.913002	288259.914613	370	401.11814346	203.037974684	237.0	0	0.00175649841549
288259.944955	288259.94669	371	401.145299145	202.978632479	234.0	0	0.00187271286268
288259.97699	288259.979612	372	401.260504202	202.953781513	238.0	0	0.00279458024306
288260.009028	288260.011602	373	401.229787234	203.136170213	235.0	0	0.00272002187558
288260.040941	288260.042606	374	401.153191489	203.038297872	235.0	0	0.0018280382501
288260.072945	288260.074619	375	401.181034483	203.00862069	232.0	0	0.00187301472761
288260.120889	288260.122621	376	401.0	202.888888889	234.0	0	0.0018739203224
288260.152779	288260.154566	377	401.142241379	202.965517241	232.0	0	0.00194364896743
288260.184784	288260.18657	378	401.182978723	203.093617021	235.0	0	0.001933687774
288260.2169	288260.218607	379	401.154506438	203.064377682	233.0	0	0.00185309228254
288260.24883	288260.25062	380	401.231759657	202.982832618	233.0	0	0.00193459331058
288260.280889	288260.282574	381	401.0	203.017094017	234.0	0	0.00182773638517
288260.312973	288260.322684	382	401.229787234	202.931914894	235.0	0	0.00987219129456
288260.344921	288260.346643	383	401.239316239	202.867521368	234.0	0	0.00186305347597
288260.376831	288260.378644	384	401.30212766	202.961702128	235.0	0	0.00195179908769
288260.408889	288260.410587	385	401.220833333	203.054166667	240.0	0	0.00185339414747
288260.440932	288260.447745	386	401.25210084	202.995798319	238.0	0	0.00695988733787
288260.472888	288260.474597	387	401.172995781	202.919831224	237.0	0	0.00185792194679
288260.520917	288260.525807	388	401.106837607	203.094017094	234.0	0	0.005034953414
288260.552863	288260.554659	389	401.092050209	203.020920502	239.0	0	0.00193761184346
288260.584843	288260.586613	390	401.259574468	202.931914894	235.0	0	0.00190833181841
288260.616887	288260.62009	391	401.169421488	203.041322314	242.0	0	0.00334124092478
288260.648851	288260.650748	392	401.064102564	203.02991453	234.0	0	0.00203179084929
288260.680953	288260.682697	393	401.170212766	202.991489362	235.0	0	0.00188327784417
288260.71309	288260.714625	394	401.224576271	202.93220339	236.0	0	0.00167982710991
288260.744966	288260.759781	395	401.186440678	202.966101695	236.0	0	0.0149735528976
288260.776931	288260.778672	396	401.257383966	203.037974684	237.0	0	0.00187693885528
288260.808893	288260.810594	397	401.290456432	202.98340249	241.0	0	0.00183920690324
288260.840889	288260.842583	398	401.299578059	202.915611814	237.0	0	0.00184403656749
288260.873116	288260.884647	399	401.190677966	202.940677966	236.0	0	0.0116688365233
288260.920879	288260.922663	400	401.034482759	203.034482759	232.0	0	0.00193248031428
288260.952832	288260.96273	401	401.089361702	202.953191489	235.0	0	0.0100499842665
288260.984747	288260.986565	402	401.25862069	202.943965517	232.0	0	0.00194757309509
288261.016864	288261.018682	403	401.309012876	202.987124464	233.0	0	0.00196236401098
288261.048893	288261.050646	404	401.262931034	202.926724138	232.0	0	0.00191527453717
288261.080925	288261.087932	405	401.241525424	203.0	236.0	0	0.00715488608694
288261.112884	288261.118731	406	401.163090129	202.995708155	233.0	0	0.00600783439586
288261.144841	288261.146727	407	401.150214592	202.91416309	233.0	0	0.00202756485669
288261.176872	288261.178661	408	401.042553191	203.012765957	235.0	0	0.00191738753347
288261.20888	288261.212803	409	401.185344828	202.948275862	232.0	0	0.00406267610379
288261.240903	288261.243683	410	401.120689655	203.012931034	232.0	0	0.00293252826668
288261.272865	288261.2747	411	401.18220339	203.033898305	236.0	0	0.00197956978809
288261.320986	288261.32265	412	401.225531915	202.936170213	235.0	0	0.00180509715574
288261.352987	288261.354602	413	401.137931034	202.978448276	232.0	0	0.00175861141179
288261.385046	288261.399916	414	401.125523013	202.953974895	239.0	0	0.0150052477256
288261.416886	288261.418652	415	401.271186441	203.063559322	236.0	0	0.00190682255197
288261.449089	288261.450693	416	401.266666667	202.991666667	240.0	0	0.00174683908699
288261.480961	288261.482786	417	401.237288136	203.063559322	236.0	0	0.00197866425151
288261.512968	288261.524655	418	401.192468619	203.012552301	239.0	0	0.0118309329846
288261.544958	288261.546714	419	401.060344828	202.939655172	232.0	0	0.00190380401909
288261.576889	288261.578667	420	401.12987013	202.948051948	231.0	0	0.00192010425963
288261.608901	288261.610686	421	401.205128205	202.901709402	234.0	0	0.00192915985826
288261.641013	288261.648669	422	401.286919831	202.924050633	237.0	0	0.00776614394272
288261.672966	288261.680746	423	401.268907563	202.966386555	238.0	0	0.00792461819947
288261.721215	288261.726813	424	401.204255319	203.136170213	235.0	0	0.0057597089326
288261.752851	288261.758671	425	401.153191489	203.093617021	235.0	0	0.00596436712658
288261.784847	288261.786684	426	401.008333333	203.025	240.0	0	0.00198319210904
288261.816819	288261.818693	427	401.119148936	202.94893617	235.0	0	0.00201941479463
288261.848846	288261.851677	428	401.186440678	203.016949153	236.0	0	0.00297871226212
288261.880919	288261.882774	429	401.220338983	202.953389831	236.0	0	0.00201277394081
288261.912833	288261.914636	430	401.095652174	202.947826087	230.0	0	0.00195240275934
288261.944955	288261.946672	431	401.038135593	202.974576271	236.0	0	0.00188056111801
288261.977017	288261.978652	432	400.987179487	202.957264957	234.0	0	0.00178185431287
288262.00895	288262.010648	433	401.13559322	202.936440678	236.0	0	0.00184886628995
288262.040948	288262.042681	434	401.29535865	203.021097046	237.0	0	0.00188539084047
288262.072889	288262.074675	435	401.299145299	203.051282051	234.0	0	0.0019433471607
288262.120945	288262.1227	436	401.152542373	202.991525424	236.0	0	0.00190169102279
288262.152929	288262.16373	437	401.121848739	202.978991597	238.0	0	0.0109458920779
288262.184953	288262.186677	438	401.059574468	202.978723404	235.0	0	0.00185822381172
288262.21693	288262.218685	439	401.11440678	202.966101695	236.0	0	0.00189897435484
288262.248878	288262.250811	440	401.165254237	202.940677966	236.0	0	0.00207827659324
288262.280832	288262.288725	441	401.155844156	202.978354978	231.0	0	0.00803509738762
288262.312958	288262.319728	442	401.311688312	202.978354978	231.0	0	0.00693211657926
288262.344961	288262.346679	443	401.164502165	202.982683983	231.0	0	0.00186607206706
288262.376791	288262.378725	444	400.94092827	202.915611814	237.0	0	0.00208371004555
288262.408862	288262.413685	445	401.153846154	202.901709402	234.0	0	0.00496733770706
288262.440861	288262.444729	446	401.153846154	202.97008547	234.0	0	0.00402222742559
288262.472836	288262.474703	447	401.205882353	202.983193277	238.0	0	0.00201458507217
288262.520831	288262.522781	448	401.216101695	202.915254237	236.0	0	0.0021120844176
288262.552912	288262.554757	449	400.991489362	202.957446809	235.0	0	0.0020115665393
288262.584961	288262.586626	450	401.136752137	202.88034188	234.0	0	0.00181022874312
288262.61702	288262.618624	451	401.126582278	202.864978903	237.0	0	0.00174653722206
288262.649045	288262.650655	452	401.122362869	202.94092827	237.0	0	0.00173899083165
288262.680799	288262.682867	453	401.25974026	202.904761905	231.0	0	0.00221562094521
288262.712919	288262.714719	454	401.055793991	202.948497854	233.0	0	0.0019487804966
288262.744857	288262.756838	455	401.099137931	202.956896552	232.0	0	0.0121243367903
288262.776871	288262.778729	456	401.109704641	202.928270042	237.0	0	0.00201156648109
288262.809001	288262.81069	457	401.158798283	202.802575107	233.0	0	0.00183769757859
288262.84083	288262.842805	458	401.148471616	202.917030568	229.0	0	0.00210695288843
288262.872825	288262.88179	459	401.172995781	202.864978903	237.0	0	0.0091127222986
288262.920961	288262.928671	460	401.188034188	202.952991453	234.0	0	0.0078470412991
288262.952844	288262.95981	461	401.263829787	202.94893617	235.0	0	0.00710840034299
288262.98483	288262.986723	462	401.138655462	202.949579832	238.0	0	0.00203631864861
288263.016722	288263.018676	463	401.131355932	202.940677966	236.0	0	0.00210363249062
288263.048829	288263.052772	464	401.224137931	202.918103448	232.0	0	0.004105539585
288263.080761	288263.08475	465	401.25	202.957627119	236.0	0	0.00414296973031
288263.113061	288263.115739	466	401.15	202.9125	240.0	0	0.00282536947634
288263.144872	288263.146956	467	401.331896552	202.780172414	232.0	0	0.00222377106547
288263.176892	288263.193768	468	401.185654008	202.869198312	237.0	0	0.017019229068
288263.208779	288263.210678	469	401.122362869	202.860759494	237.0	0	0.00205201515928
288263.240801	288263.242754	470	401.050847458	202.919491525	236.0	0	0.00210121762939
288263.272805	288263.274687	471	401.18220339	202.877118644	236.0	0	0.00202937598806
288263.320891	288263.322753	472	401.116182573	202.987551867	241.0	0	0.00200975534972
288263.352922	288263.354662	473	401.229787234	203.017021277	235.0	0	0.00188720197184
288263.384927	288263.396717	474	401.286324786	202.85042735	234.0	0	0.0119335639756
288263.416851	288263.418748	475	401.235294118	202.911764706	238.0	0	0.00203752610832
288263.448872	288263.450797	476	401.092827004	202.848101266	237.0	0	0.0020671079983
288263.480797	288263.482742	477	401.125	202.958333333	240.0	0	0.00208431371721
288263.512834	288263.520763	478	401.175	202.929166667	240.0	0	0.00806649035076
288263.544828	288263.546709	479	401.25862069	202.900862069	232.0	0	0.00201941473642
288263.576816	288263.578749	480	401.272340426	203.034042553	235.0	0	0.00207435246557
288263.608868	288263.610743	481	401.180672269	202.848739496	238.0	0	0.00202635745518
288263.640858	288263.645727	482	401.025862069	202.939655172	232.0	0	0.00504612206714
288263.672826	288263.676728	483	401.185344828	202.88362069	232.0	0	0.00405150745064
288263.720786	288263.723726	484	401.240343348	202.995708155	233.0	0	0.00308164500166
